subjectID,task,score
1,easy1,58
1,easy2,60
1,hard1,62
1,hard2,64
2,easy1,75
2,easy2,74
2,hard1,60
2,hard2,57
3,easy1,57
3,easy2,73
3,hard1,67
3,hard2,63
4,easy1,42
4,easy2,59
4,hard1,50
4,hard2,50
5,easy1,68
5,easy2,70
5,hard1,73
5,hard2,76
6,easy1,64
6,easy2,55
6,hard1,67
6,hard2,54
7,easy1,79
7,easy2,80
7,hard1,82
7,hard2,71
8,easy1,77
8,easy2,76
8,hard1,68
8,hard2,63
9,easy1,70
9,easy2,71
9,hard1,63
9,hard2,60
10,easy1,90
10,easy2,79
10,hard1,80
10,hard2,80
11,easy1,85
11,easy2,81
11,hard1,64
11,hard2,71
12,easy1,67
12,easy2,62
12,hard1,50
12,hard2,57
13,easy1,71
13,easy2,68
13,hard1,53
13,hard2,59
14,easy1,70
14,easy2,75
14,hard1,67
14,hard2,71
15,easy1,76
15,easy2,77
15,hard1,60
15,hard2,67
16,easy1,83
16,easy2,69
16,hard1,69
16,hard2,71
17,easy1,57
17,easy2,59
17,hard1,53
17,hard2,56
18,easy1,80
18,easy2,79
18,hard1,76
18,hard2,73
19,easy1,74
19,easy2,85
19,hard1,64
19,hard2,66
20,easy1,83
20,easy2,81
20,hard1,59
20,hard2,62
21,easy1,72
21,easy2,73
21,hard1,77
21,hard2,78
22,easy1,69
22,easy2,76
22,hard1,77
22,hard2,79
23,easy1,70
23,easy2,71
23,hard1,71
23,hard2,73
24,easy1,70
24,easy2,63
24,hard1,62
24,hard2,69
25,easy1,72
25,easy2,75
25,hard1,66
25,hard2,71
