id,day,type,revenueAdded
1,mon,italian,1583.693599
1,tues,italian,1737.927555
1,wed,italian,1671.143529
1,thurs,italian,1785.3264
2,mon,italian,3566.838477
2,tues,italian,3799.527581
2,wed,italian,3665.436489
2,thurs,italian,3763.61389
3,mon,italian,2506.868266
3,tues,italian,2759.377345
3,wed,italian,2631.400583
3,thurs,italian,2705.699704
4,mon,italian,2959.426673
4,tues,italian,3172.389632
4,wed,italian,3053.537618
4,thurs,italian,3146.486232
5,mon,italian,2795.236377
5,tues,italian,2987.159314
5,wed,italian,2891.336058
5,thurs,italian,2977.534744
6,mon,chinese,2898.352158
6,tues,chinese,3140.68913
6,wed,chinese,2997.560007
6,thurs,chinese,3113.326998
7,mon,chinese,3199.434192
7,tues,chinese,3350.979405
7,wed,chinese,3283.597803
7,thurs,chinese,3360.911253
8,mon,chinese,2934.470537
8,tues,chinese,3139.7325
8,wed,chinese,3083.529535
8,thurs,chinese,3143.752215
9,mon,chinese,2366.189766
9,tues,chinese,2559.154228
9,wed,chinese,2467.73458
9,thurs,chinese,2583.22964
10,mon,chinese,3480.324226
10,tues,chinese,3705.664765
10,wed,chinese,3597.463842
10,thurs,chinese,3645.606941
11,mon,seafood,1963.694862
11,tues,seafood,2191.344889
11,wed,seafood,2087.934072
11,thurs,seafood,2199.684098
12,mon,seafood,2578.012104
12,tues,seafood,2798.482813
12,wed,seafood,2663.659449
12,thurs,seafood,2739.883444
13,mon,seafood,2782.227531
13,tues,seafood,2967.519034
13,wed,seafood,2948.068388
13,thurs,seafood,3008.987897
14,mon,seafood,2524.047076
14,tues,seafood,2666.038027
14,wed,seafood,2595.322454
14,thurs,seafood,2714.703605
15,mon,seafood,1240.142703
15,tues,seafood,1390.166555
15,wed,seafood,1347.876545
15,thurs,seafood,1386.849964
16,mon,vegetarian,1933.519005
16,tues,vegetarian,2081.064335
16,wed,vegetarian,2034.558722
16,thurs,vegetarian,2102.689763
17,mon,vegetarian,2884.38016
17,tues,vegetarian,3034.274153
17,wed,vegetarian,3001.859976
17,thurs,vegetarian,3094.047511
18,mon,vegetarian,1407.94338
18,tues,vegetarian,1596.126435
18,wed,vegetarian,1512.195253
18,thurs,vegetarian,1606.439431
19,mon,vegetarian,2531.099926
19,tues,vegetarian,2726.82166
19,wed,vegetarian,2656.247149
19,thurs,vegetarian,2757.993496
20,mon,vegetarian,2267.220944
20,tues,vegetarian,2421.169305
20,wed,vegetarian,2354.10082
20,thurs,vegetarian,2397.924698
