id,type,mon,thurs,tues,wed
1,italian,1583.693599,1785.3264,1737.927555,1671.143529
2,italian,3566.838477,3763.61389,3799.527581,3665.436489
3,italian,2506.868266,2705.699704,2759.377345,2631.400583
4,italian,2959.426673,3146.486232,3172.389632,3053.537618
5,italian,2795.236377,2977.534744,2987.159314,2891.336058
6,chinese,2898.352158,3113.326998,3140.68913,2997.560007
7,chinese,3199.434192,3360.911253,3350.979405,3283.597803
8,chinese,2934.470537,3143.752215,3139.7325,3083.529535
9,chinese,2366.189766,2583.22964,2559.154228,2467.73458
10,chinese,3480.324226,3645.606941,3705.664765,3597.463842
11,seafood,1963.694862,2199.684098,2191.344889,2087.934072
12,seafood,2578.012104,2739.883444,2798.482813,2663.659449
13,seafood,2782.227531,3008.987897,2967.519034,2948.068388
14,seafood,2524.047076,2714.703605,2666.038027,2595.322454
15,seafood,1240.142703,1386.849964,1390.166555,1347.876545
16,vegetarian,1933.519005,2102.689763,2081.064335,2034.558722
17,vegetarian,2884.38016,3094.047511,3034.274153,3001.859976
18,vegetarian,1407.94338,1606.439431,1596.126435,1512.195253
19,vegetarian,2531.099926,2757.993496,2726.82166,2656.247149
20,vegetarian,2267.220944,2397.924698,2421.169305,2354.10082
